# seed = 6, gamma = 0.0, beta = 0.33, dee = 0.1, dcc = 100.0, dec = 1000.0, dsCnd = 500.0, dLocalhost = 0.02, hostBroker = EDGE 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 261.83 1.0 376 261.83 1.0 15589 13361.35 1.5 15589 13361.35 1.5 370 319.94 1.04 370 319.94 1.04 211 0 99 211 0 99 18.9 21.0 19.45 0.85
1800.0 356 263.56 1.0 732 525.39 1.0 15876 190351.55 20.99 31465 203712.9 20.99 352 3826.55 20.99 722 4146.49 20.99 211 0 99 422 0 198 18.9 18.9 18.9 0.0
2700.0 310 261.73 1.01 1042 787.12 1.01 15534 13385.96 1.5 46999 217098.85 20.99 310 314.46 1.04 1032 4460.94 20.99 211 0 99 633 0 297 17.7 18.9 18.44 0.03
3600.0 310 261.73 1.01 1352 1048.85 1.01 15534 13385.96 1.5 62533 230484.81 20.99 310 314.46 1.04 1342 4775.4 20.99 211 0 99 844 0 396 17.7 18.9 18.24 0.06
4500.0 376 261.56 1.0 1728 1310.41 1.01 15589 13403.65 1.5 78122 243888.46 20.99 370 320.85 1.04 1712 5096.24 20.99 211 0 99 1055 0 495 17.6 18.7 18.23 0.06
5400.0 356 263.57 1.01 2084 1573.98 1.01 15904 19889.92 21.06 94026 263778.38 21.06 352 339.55 21.06 2064 5435.79 21.06 211 0 99 1266 0 594 17.6 18.7 18.23 0.06
6300.0 310 261.74 1.01 2394 1835.72 1.01 15580 13436.16 1.5 109606 277214.54 21.06 310 314.58 1.04 2374 5750.37 21.06 211 0 99 1477 0 693 17.6 18.7 18.23 0.05
7200.0 310 261.74 1.01 2704 2097.45 1.01 15584 13440.66 1.5 125190 290655.21 21.06 310 314.58 1.04 2684 6064.95 21.06 211 0 99 1688 0 792 17.6 18.7 18.25 0.04
8100.0 376 261.88 1.01 3080 2359.33 1.01 15641 13446.67 1.5 140831 304101.88 21.06 370 320.58 1.04 3054 6385.52 21.06 211 0 99 1899 0 891 17.6 18.7 18.25 0.04
