# seed = 3, gamma = 0.66, beta = 1.0, dee = 1.0, dcc = 100.0, dec = 50.0, dsCnd = 50.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 31.73 0.1 376 31.73 0.1 15972 2251.88 0.2 15972 2251.88 0.2 370 45.4 0.2 370 45.4 0.2 4 6 300 4 6 300 18.9 21.0 19.31 0.69
1800.0 356 32.56 0.36 732 64.29 0.36 16258 173074.01 20.53 32230 175325.88 20.53 352 3354.42 20.53 722 3399.82 20.53 4 6 300 8 12 600 18.6 18.9 18.9 0.0
2700.0 310 31.63 0.11 1042 95.93 0.36 15913 2308.85 0.21 48143 177634.73 20.53 310 46.41 0.21 1032 3446.23 20.53 4 6 300 12 18 900 17.6 18.9 18.31 0.06
3600.0 310 31.63 0.11 1352 127.56 0.36 15915 2308.81 0.21 64058 179943.55 20.53 310 46.41 0.21 1342 3492.65 20.53 4 6 300 16 24 1200 17.6 18.9 18.24 0.05
4500.0 376 31.77 0.11 1728 159.33 0.36 15971 2308.96 0.21 80029 182252.51 20.53 370 46.52 0.21 1712 3539.16 20.53 4 6 300 20 30 1500 17.6 18.7 18.24 0.05
5400.0 356 32.57 0.36 2084 191.9 0.36 16283 8698.78 20.59 96312 190951.28 20.59 352 67.35 20.59 2064 3606.51 20.59 4 6 300 24 36 1800 17.6 18.7 18.24 0.05
6300.0 310 31.64 0.11 2394 223.54 0.36 15960 2325.63 0.21 112272 193276.91 20.59 310 46.6 0.21 2374 3653.11 20.59 4 6 300 28 42 2100 17.6 18.7 18.24 0.05
7200.0 310 31.64 0.11 2704 255.18 0.36 15963 2325.68 0.21 128235 195602.59 20.59 310 46.6 0.21 2684 3699.71 20.59 4 6 300 32 48 2400 17.6 18.7 18.25 0.04
8100.0 376 31.78 0.11 3080 286.96 0.36 16020 2325.74 0.21 144255 197928.33 20.59 370 46.7 0.21 3054 3746.4 20.59 4 6 300 36 54 2700 17.6 18.7 18.25 0.04
