# seed = 3, gamma = 0.66, beta = 0.0, dee = 10.0, dcc = 100.0, dec = 10.0, dsCnd = 150.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 31.73 0.1 376 31.73 0.1 15972 2298.91 0.2 15972 2298.91 0.2 370 45.4 0.2 370 45.4 0.2 304 6 0 304 6 0 18.9 21.0 19.31 0.69
1800.0 356 32.56 0.36 732 64.29 0.36 16258 173120.24 20.53 32230 175419.15 20.53 352 3354.42 20.53 722 3399.82 20.53 304 6 0 608 12 0 18.6 18.9 18.9 0.0
2700.0 310 31.63 0.11 1042 95.93 0.36 15913 2356.05 0.21 48143 177775.2 20.53 310 46.41 0.21 1032 3446.23 20.53 304 6 0 912 18 0 17.6 18.9 18.31 0.06
3600.0 310 31.63 0.11 1352 127.56 0.36 15915 2356.33 0.21 64058 180131.53 20.53 310 46.41 0.21 1342 3492.65 20.53 304 6 0 1216 24 0 17.6 18.9 18.24 0.05
4500.0 376 31.77 0.11 1728 159.33 0.36 15971 2355.83 0.21 80029 182487.36 20.53 370 46.52 0.21 1712 3539.16 20.53 304 6 0 1520 30 0 17.6 18.7 18.24 0.05
5400.0 356 32.57 0.36 2084 191.9 0.36 16283 8745.01 20.59 96312 191232.37 20.59 352 67.35 20.59 2064 3606.51 20.59 304 6 0 1824 36 0 17.6 18.7 18.24 0.05
6300.0 310 31.64 0.11 2394 223.54 0.36 15960 2371.7 0.21 112272 193604.08 20.59 310 46.6 0.21 2374 3653.11 20.59 304 6 0 2128 42 0 17.6 18.7 18.24 0.05
7200.0 310 31.64 0.11 2704 255.18 0.36 15963 2372.23 0.21 128235 195976.31 20.59 310 46.6 0.21 2684 3699.71 20.59 304 6 0 2432 48 0 17.6 18.7 18.25 0.04
8100.0 376 31.78 0.11 3080 286.96 0.36 16020 2371.82 0.21 144255 198348.13 20.59 370 46.7 0.21 3054 3746.4 20.59 304 6 0 2736 54 0 17.6 18.7 18.25 0.04
